country_code,government,run_started_utc,duration_s,sources_checked,sources_successful,sources_failed,new_documents,pages_fetched,links_followed,ssl_invalid_pages,pdf_documents,scanned_pdfs,documentation,timeliness,accessibility,completeness,traceability,explainability,overall,questions_answered,questions_partial,questions_failed
ZA,Government of South Africa,2026-07-05T19:29:52+00:00,1005.8,10,10,0,52,55,45,0,4,0,90,60,99,60,55,69,72,5,1,2
BR,Federal Government of Brazil,2026-07-05T19:24:43+00:00,207.5,11,9,2,31,38,27,0,0,0,90,73,84,40,32,88,68,6,2,0
US,Government of the United States,2026-07-05T19:08:19+00:00,278.7,12,11,1,54,56,44,0,0,0,80,61,94,40,32,88,66,6,2,0
BD,Government of Bangladesh,2026-07-05T19:46:38+00:00,654.3,15,13,2,55,60,45,26,4,1,90,62,84,20,10,62,55,4,2,2
JP,Government of Japan,2026-07-05T19:18:29+00:00,214.6,10,9,1,44,46,36,0,5,2,80,62,88,20,10,62,54,4,2,2
NO,Government of Norway,2026-07-05T19:22:04+00:00,159.4,11,9,2,33,38,27,0,0,0,80,65,87,20,10,62,54,4,2,2
KE,Government of Kenya,2026-07-05T19:57:32+00:00,434.5,9,7,2,32,35,26,7,3,1,70,62,78,40,10,62,54,4,2,2
GB,Government of the United Kingdom,2026-07-05T19:12:58+00:00,154.9,11,11,0,48,51,40,3,0,0,80,60,99,20,10,44,52,2,3,3
DE,Federal Government of Germany,2026-07-05T19:15:33+00:00,176.4,11,11,0,40,59,48,0,5,0,70,60,89,20,10,31,47,1,3,4
IN,Government of India,2026-07-05T19:28:11+00:00,101.5,11,6,5,21,26,15,0,0,0,50,60,68,20,10,19,38,1,1,6
